timestamp,open,high,low,close,volume
1970-01-01 00:28:56.553600,2.34166,2.36085,2.33564,2.36041,614103.94888886
1970-01-01 00:28:56.557200,2.36041,2.36401,2.3424,2.35489,533610.3744
1970-01-01 00:28:56.560800,2.3549,2.357,2.33615,2.34774,420673.4636
1970-01-01 00:28:56.564400,2.34762,2.34778,2.32499,2.33113,1577605.728
1970-01-01 00:28:56.568000,2.33124,2.33996,2.327,2.33377,295742.0525
1970-01-01 00:28:56.571600,2.33368,2.33806,2.32686,2.33221,297178.2284
1970-01-01 00:28:56.575200,2.33164,2.34617,2.33164,2.33821,196398.6185
1970-01-01 00:28:56.578800,2.33797,2.3461,2.33388,2.34431,252156.1231
1970-01-01 00:28:56.582400,2.34419,2.35096,2.33288,2.34054,274926.4492
1970-01-01 00:28:56.586000,2.34066,2.3591,2.34066,2.35605,663353.3794
1970-01-01 00:28:56.589600,2.35606,2.39324,2.35101,2.3869,1428274.0588
1970-01-01 00:28:56.593200,2.387,2.43658,2.37731,2.41906,3215990.55048867
1970-01-01 00:28:56.596800,2.41947,2.43069,2.39896,2.4058,2168845.25479746
1970-01-01 00:28:56.600400,2.40657,2.41006,2.38161,2.39379,816338.0
1970-01-01 00:28:56.604000,2.39485,2.40683,2.37818,2.40231,807612.04477634
1970-01-01 00:28:56.607600,2.40138,2.41625,2.39021,2.40745,973048.65181137
1970-01-01 00:28:56.611200,2.40724,2.49921,2.39708,2.47493,3798689.805
1970-01-01 00:28:56.614800,2.47446,2.51432,2.44617,2.48219,3078591.09279335
1970-01-01 00:28:56.618400,2.48228,2.50364,2.47726,2.48962,3246479.16163931
1970-01-01 00:28:56.622000,2.48967,2.53354,2.47334,2.53054,1661158.46525323
1970-01-01 00:28:56.625600,2.52981,2.59951,2.50813,2.593,3152092.21154439
1970-01-01 00:28:56.629200,2.59207,2.60338,2.55278,2.57344,2605317.54511834
1970-01-01 00:28:56.632800,2.57402,2.57539,2.5315,2.5474,1869930.91179041
1970-01-01 00:28:56.636400,2.54793,2.58051,2.54509,2.57648,1516023.2125
1970-01-01 00:28:56.640000,2.57663,2.58364,2.51051,2.52103,3432309.10768848
1970-01-01 00:28:56.643600,2.52111,2.53097,2.50602,2.5305,1885318.7668
1970-01-01 00:28:56.647200,2.53097,2.54948,2.52598,2.54377,700594.7079
1970-01-01 00:28:56.650800,2.54377,2.54599,2.52661,2.54149,565806.1217
1970-01-01 00:28:56.654400,2.54149,2.55358,2.53363,2.55152,521965.84312472
1970-01-01 00:28:56.658000,2.55153,2.55573,2.53799,2.54649,506404.7411
1970-01-01 00:28:56.661600,2.54765,2.55032,2.52276,2.52276,564780.66264401
1970-01-01 00:28:56.665200,2.52344,2.54309,2.511,2.54207,769831.51149404
1970-01-01 00:28:56.668800,2.54206,2.55065,2.51916,2.52403,595624.92967532
1970-01-01 00:28:56.672400,2.52447,2.53152,2.48474,2.49533,1361012.88122659
1970-01-01 00:28:56.676000,2.49553,2.502,2.4702,2.48418,1264826.3951
1970-01-01 00:28:56.679600,2.48544,2.50271,2.47499,2.49433,2370152.543
1970-01-01 00:28:56.683200,2.49465,2.52792,2.48903,2.50803,1084306.49562979
1970-01-01 00:28:56.686800,2.50802,2.52145,2.5019,2.50814,1478815.83771155
1970-01-01 00:28:56.690400,2.50802,2.5117,2.48806,2.50247,981727.0337
1970-01-01 00:28:56.694000,2.50246,2.53263,2.49486,2.52312,1159589.63050642
1970-01-01 00:28:56.697600,2.52299,2.54267,2.51909,2.52993,908948.31079891
1970-01-01 00:28:56.701200,2.5301,2.55104,2.516,2.54246,737970.94578162
1970-01-01 00:28:56.704800,2.542,2.55331,2.52872,2.54431,707395.04035728
1970-01-01 00:28:56.708400,2.5431,2.55461,2.53515,2.54854,677996.3179
1970-01-01 00:28:56.712000,2.54892,2.54892,2.52726,2.54128,798047.10793715
1970-01-01 00:28:56.715600,2.54225,2.54306,2.51338,2.51927,1082751.3932
1970-01-01 00:28:56.719200,2.51927,2.5198,2.48914,2.49607,1308141.96429614
1970-01-01 00:28:56.722800,2.49682,2.5093,2.48474,2.50441,1039061.2993
1970-01-01 00:28:56.726400,2.50404,2.56318,2.49898,2.54758,1348898.16071477
1970-01-01 00:28:56.730000,2.54697,2.56273,2.52047,2.52921,1161396.56716442
1970-01-01 00:28:56.733600,2.53053,2.53329,2.49498,2.51651,1030462.6678
1970-01-01 00:28:56.737200,2.51617,2.5393,2.5052,2.5052,1108949.9542
1970-01-01 00:28:56.740800,2.50521,2.54082,2.49869,2.5241,1167682.8144
1970-01-01 00:28:56.744400,2.52253,2.52549,2.49728,2.51038,1465790.38766023
